Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2010-2011,Kevin Poulin,New York Islanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,
2014-2015,Kevin Shattenkirk,St. Louis,56,912:40:00,4,13,6,17,87,123,174,4.6,0.26,0.85,0.39,1.12,5.72,8.09,11.44,8.5,27.7,36.2,0,0
2013-2014,Kevin Shattenkirk,St. Louis,81,1259:50:00,3,14,4,17,110,154,246,2.73,0.14,0.67,0.19,0.81,5.24,7.33,11.72,6.1,28.6,34.7,0,0
2012-2013,Kevin Shattenkirk,St. Louis,48,765:35:00,3,11,4,14,58,85,132,5.17,0.24,0.86,0.31,1.1,4.55,6.66,10.35,10.7,39.3,50,0,0
2011-2012,Kevin Shattenkirk,St. Louis,81,1263:22:00,3,18,9,21,108,151,212,2.78,0.14,0.85,0.43,1,5.13,7.17,10.07,6.4,38.3,44.7,0,0
2010-2011,Kevin Shattenkirk,St. Louis,72,1125:34:00,6,18,12,24,76,99,160,7.89,0.32,0.96,0.64,1.28,4.05,5.28,8.53,11.5,34.6,46.2,0,0
2015-2016,Kevin Shattenkirk,St. Louis,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Kevin Westgarth,Calgary,48,309:25:00,4,3,3,7,31,45,56,12.9,0.78,0.58,0.58,1.36,6.01,8.73,10.86,40,30,70,0,0
2012-2013,Kevin Westgarth,Carolina,31,175:38:00,2,2,1,4,16,25,31,12.5,0.68,0.68,0.34,1.37,5.47,8.54,10.59,40,40,80,0,0
2011-2012,Kevin Westgarth,Los Angeles,25,131:03:00,1,1,1,2,13,19,23,7.69,0.46,0.46,0.46,0.92,5.95,8.7,10.53,20,20,40,0,1
2010-2011,Kevin Westgarth,Los Angeles,56,303:12:00,0,3,1,3,20,31,34,0,0,0.59,0.2,0.59,3.96,6.13,6.73,0,37.5,37.5,0,0
2014-2015,Kimmo Timonen,Chicago,16,179:11:00,0,0,0,0,8,9,15,0,0,0,0,0,2.68,3.01,5.02,0,0,0,0,1
2013-2014,Kimmo Timonen,Philadelphia,77,964:00:00,5,6,1,11,83,114,153,6.02,0.31,0.37,0.06,0.68,5.17,7.1,9.52,13.9,16.7,30.6,0,0
2012-2013,Kimmo Timonen,Philadelphia,45,629:54:00,1,7,1,8,42,61,89,2.38,0.1,0.67,0.1,0.76,4,5.81,8.48,3.8,26.9,30.8,0,0
2011-2012,Kimmo Timonen,Philadelphia,76,985:20:00,0,18,11,18,79,110,146,0,0,1.1,0.67,1.1,4.81,6.7,8.89,0,40.9,40.9,0,0
2010-2011,Kimmo Timonen,Philadelphia,82,1192:25:00,3,13,7,16,86,133,172,3.49,0.15,0.65,0.35,0.81,4.33,6.69,8.65,6.1,26.5,32.7,0,0
2014-2015,Klas Dahlbeck,Arizona,23,331:31:00,1,3,2,4,20,39,54,5,0.18,0.54,0.36,0.72,3.62,7.06,9.77,10,30,40,0,0
2015-2016,Klas Dahlbeck,Arizona,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Korbinian Holzer,Toronto,34,482:48:00,0,6,5,6,31,41,48,0,0,0.75,0.62,0.75,3.85,5.1,5.97,0,30,30,0,0
2012-2013,Korbinian Holzer,Toronto,22,336:49:00,2,1,1,3,16,23,30,12.5,0.36,0.18,0.18,0.53,2.85,4.1,5.34,20,10,30,0,0
2015-2016,Korbinian Holzer,Anaheim,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Kris Draper,Detroit,47,445:15:00,6,5,1,11,54,72,85,11.11,0.81,0.67,0.13,1.48,7.28,9.7,11.45,28.6,23.8,52.4,0,0
2014-2015,Kris Letang,Pittsburgh,69,1205:48:00,5,15,7,20,130,171,264,3.85,0.25,0.75,0.35,1,6.47,8.51,13.14,9.8,29.4,39.2,0,0
2013-2014,Kris Letang,Pittsburgh,37,641:21:00,3,4,1,7,66,87,115,4.55,0.28,0.37,0.09,0.65,6.17,8.14,10.76,15.8,21.1,36.8,0,0
2012-2013,Kris Letang,Pittsburgh,35,620:17:00,3,18,10,21,61,83,119,4.92,0.29,1.74,0.97,2.03,5.9,8.03,11.51,7.9,47.4,55.3,0,0
2011-2012,Kris Letang,Pittsburgh,51,894:06:00,3,19,10,22,83,112,164,3.61,0.2,1.27,0.67,1.48,5.57,7.52,11.01,5.1,32.2,37.3,0,0
2010-2011,Kris Letang,Pittsburgh,82,1315:47:00,3,17,7,20,130,183,271,2.31,0.14,0.78,0.32,0.91,5.93,8.34,12.36,5.4,30.4,35.7,0,0
2015-2016,Kris Letang,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Kris Newbury,New York Rangers,11,80:31:00,0,1,1,1,6,10,14,0,0,0.75,0.75,0.75,4.47,7.45,10.43,0,100,100,0,0
2014-2015,Kris Russell,Calgary,79,1483:37:00,3,10,4,13,92,123,190,3.26,0.12,0.4,0.16,0.53,3.72,4.97,7.68,4.1,13.7,17.8,0,0
2013-2014,Kris Russell,Calgary,68,1233:42:00,2,12,6,14,80,114,158,2.5,0.1,0.58,0.29,0.68,3.89,5.54,7.68,4.3,25.5,29.8,0,0
2012-2013,Kris Russell,St. Louis,33,476:27:00,0,5,2,5,36,50,70,0,0,0.63,0.25,0.63,4.53,6.3,8.82,0,29.4,29.4,0,0
2011-2012,Kris Russell,St. Louis,55,778:07:00,5,5,3,10,43,59,97,11.63,0.39,0.39,0.23,0.77,3.32,4.55,7.48,14.7,14.7,29.4,0,0
2010-2011,Kris Russell,Columbus,73,988:43:00,2,11,6,13,53,87,129,3.77,0.12,0.67,0.36,0.79,3.22,5.28,7.83,5.3,28.9,34.2,0,0
2015-2016,Kris Russell,Calgary,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kris Versteeg,Chicago,61,820:15:00,10,16,11,26,108,142,191,9.26,0.73,1.17,0.8,1.9,7.9,10.39,13.97,27,43.2,70.3,0,1
2013-2014,Kris Versteeg,Chicago,81,973:45:00,9,15,3,24,129,173,218,6.98,0.55,0.92,0.18,1.48,7.95,10.66,13.43,23.7,39.5,63.2,0,0
2012-2013,Kris Versteeg,Florida,10,133:34:00,2,1,0,3,13,20,24,15.38,0.9,0.45,0,1.35,5.84,8.98,10.78,50,25,75,0,0
2011-2012,Kris Versteeg,Florida,71,1052:15:00,10,19,15,29,124,169,211,8.06,0.57,1.08,0.86,1.65,7.07,9.64,12.03,23.3,44.2,67.4,0,0
2010-2011,Kris Versteeg,Philadelphia,80,1078:54:00,11,16,10,27,128,178,243,8.59,0.61,0.89,0.56,1.5,7.12,9.9,13.51,30.6,44.4,75,0,0
2015-2016,Kris Versteeg,Chicago,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Kristers Gudlevskis,Tampa Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,
2010-2011,Kristian Huselius,Columbus,39,513:19:00,8,7,4,15,66,96,126,12.12,0.94,0.82,0.47,1.75,7.71,11.22,14.73,47.1,41.2,88.2,0,0
2013-2014,Krys Barch,Florida,55,326:42:00,0,4,2,4,19,25,31,0,0,0.73,0.37,0.73,3.49,4.59,5.69,0,80,80,0,0
2011-2012,Krys Kolanos,Calgary,13,114:11:00,0,1,0,1,26,32,38,0,0,0.53,0,0.53,13.66,16.82,19.97,0,50,50,0,0
2012-2013,Krystofer Barch,New Jersey,22,128:40:00,0,0,0,0,4,7,9,0,0,0,0,0,1.87,3.26,4.2,0,0,0,0,0
2011-2012,Krystofer Barch,Florida,51,368:16:00,2,3,1,5,24,37,43,8.33,0.33,0.49,0.16,0.81,3.91,6.03,7.01,28.6,42.9,71.4,0,0
2010-2011,Krystofer Barch,Dallas,44,223:54:00,2,1,0,3,16,21,23,12.5,0.54,0.27,0,0.8,4.29,5.63,6.16,66.7,33.3,100,0,0
2012-2013,Kurtis Foster,Philadelphia,23,261:09:00,0,4,2,4,17,28,40,0,0,0.92,0.46,0.92,3.91,6.43,9.19,0,36.4,36.4,0,0
2011-2012,Kurtis Foster,Minnesota,51,618:22:00,2,1,0,3,50,67,89,4,0.19,0.1,0,0.29,4.85,6.5,8.64,11.8,5.9,17.6,0,0
2010-2011,Kurtis Foster,Edmonton,74,952:38:00,3,5,2,8,95,130,183,3.16,0.19,0.31,0.13,0.5,5.98,8.19,11.53,10.7,17.9,28.6,0,0
2014-2015,Kyle Brodziak,Minnesota,73,747:54:00,8,11,6,19,81,106,130,9.88,0.64,0.88,0.48,1.52,6.5,8.5,10.43,29.6,40.7,70.4,0,0
2013-2014,Kyle Brodziak,Minnesota,81,1047:51:00,5,12,5,17,100,148,200,5,0.29,0.69,0.29,0.97,5.73,8.47,11.45,18.5,44.4,63,0,0
2012-2013,Kyle Brodziak,Minnesota,48,644:21:00,6,3,0,9,65,92,119,9.23,0.56,0.28,0,0.84,6.05,8.57,11.08,33.3,16.7,50,0,0
2011-2012,Kyle Brodziak,Minnesota,82,1134:49:00,15,14,8,29,126,179,227,11.9,0.79,0.74,0.42,1.53,6.66,9.46,12,46.9,43.8,90.6,0,0
2010-2011,Kyle Brodziak,Minnesota,80,980:36:00,11,16,10,27,104,155,191,10.58,0.67,0.98,0.61,1.65,6.36,9.48,11.69,28.9,42.1,71.1,0,0
2015-2016,Kyle Brodziak,St. Louis,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Chipchura,Arizona,70,820:06:00,3,10,4,13,72,91,118,4.17,0.22,0.73,0.29,0.95,5.27,6.66,8.63,21.4,71.4,92.9,0,0
2013-2014,Kyle Chipchura,Arizona,80,758:35:00,5,15,8,20,46,61,84,10.87,0.4,1.19,0.63,1.58,3.64,4.82,6.64,17.2,51.7,69,0,0
2012-2013,Kyle Chipchura,Arizona,46,421:00:00,4,8,8,12,31,42,51,12.9,0.57,1.14,1.14,1.71,4.42,5.99,7.27,25,50,75,0,0
2011-2012,Kyle Chipchura,Arizona,53,534:22:00,3,13,9,16,41,58,76,7.32,0.34,1.46,1.01,1.8,4.6,6.51,8.53,15,65,80,0,0
2010-2011,Kyle Chipchura,Anaheim,40,281:13:00,0,2,2,2,23,30,34,0,0,0.43,0.43,0.43,4.91,6.4,7.25,0,33.3,33.3,0,0
2015-2016,Kyle Chipchura,Arizona,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Clifford,Los Angeles,80,837:47:00,6,9,6,15,113,148,186,5.31,0.43,0.64,0.43,1.07,8.09,10.6,13.32,19.4,29,48.4,0,0
2013-2014,Kyle Clifford,Los Angeles,71,684:28:00,3,6,3,9,72,98,129,4.17,0.26,0.53,0.26,0.79,6.31,8.59,11.31,15.8,31.6,47.4,0,1
2012-2013,Kyle Clifford,Los Angeles,48,468:20:00,7,6,3,13,53,77,100,13.21,0.9,0.77,0.38,1.67,6.79,9.86,12.81,36.8,31.6,68.4,0,0
2011-2012,Kyle Clifford,Los Angeles,81,724:29:00,5,7,5,12,87,120,142,5.75,0.41,0.58,0.41,0.99,7.21,9.94,11.76,29.4,41.2,70.6,0,1
2010-2011,Kyle Clifford,Los Angeles,76,716:36:00,7,7,5,14,69,97,130,10.14,0.59,0.59,0.42,1.17,5.78,8.12,10.88,35,35,70,0,0
2015-2016,Kyle Clifford,Los Angeles,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Cumiskey,Chicago,7,84:33:00,0,0,0,0,5,8,11,0,0,0,0,0,3.55,5.68,7.81,0,0,0,0,1
2010-2011,Kyle Cumiskey,Colorado,18,245:29:00,1,5,0,6,14,22,30,7.14,0.24,1.22,0,1.47,3.42,5.38,7.33,6.7,33.3,40,0,0
2014-2015,Kyle Okposo,New York Islanders,60,891:20:00,11,20,13,31,139,191,246,7.91,0.74,1.35,0.88,2.09,9.36,12.86,16.56,28.2,51.3,79.5,0,0
2013-2014,Kyle Okposo,New York Islanders,71,1097:43:00,19,28,15,47,132,183,256,14.39,1.04,1.53,0.82,2.57,7.21,10,13.99,32.2,47.5,79.7,0,0
2012-2013,Kyle Okposo,New York Islanders,48,704:22:00,4,17,13,21,86,114,144,4.65,0.34,1.45,1.11,1.79,7.33,9.71,12.27,12.1,51.5,63.6,0,0
2011-2012,Kyle Okposo,New York Islanders,79,1150:20:00,20,16,10,36,133,187,234,15.04,1.04,0.83,0.52,1.88,6.94,9.75,12.21,42.6,34,76.6,0,0
2010-2011,Kyle Okposo,New York Islanders,38,485:41:00,5,8,2,13,62,85,125,8.06,0.62,0.99,0.25,1.61,7.66,10.5,15.44,19.2,30.8,50,0,0
2015-2016,Kyle Okposo,New York Islanders,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Palmieri,Anaheim,57,677:15:00,8,9,4,17,85,133,166,9.41,0.71,0.8,0.35,1.51,7.53,11.78,14.71,29.6,33.3,63,0,0
2013-2014,Kyle Palmieri,Anaheim,71,733:09:00,13,14,4,27,115,154,190,11.3,1.06,1.15,0.33,2.21,9.41,12.6,15.55,33.3,35.9,69.2,0,0
2012-2013,Kyle Palmieri,Anaheim,42,454:05:00,8,10,6,18,80,110,137,10,1.06,1.32,0.79,2.38,10.57,14.53,18.1,38.1,47.6,85.7,0,0
2011-2012,Kyle Palmieri,Anaheim,18,189:11:00,4,3,2,7,29,46,61,13.79,1.27,0.95,0.63,2.22,9.2,14.59,19.35,36.4,27.3,63.6,0,0
2010-2011,Kyle Palmieri,Anaheim,10,86:40:00,1,0,0,1,10,13,14,10,0.69,0,0,0.69,6.92,9,9.69,50,0,50,0,0
2015-2016,Kyle Palmieri,New Jersey,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Quincey,Detroit,73,1193:43:00,3,11,7,14,79,119,202,3.8,0.15,0.55,0.35,0.7,3.97,5.98,10.15,6.4,23.4,29.8,0,0
2013-2014,Kyle Quincey,Detroit,82,1412:57:00,4,8,4,12,99,137,199,4.04,0.17,0.34,0.17,0.51,4.2,5.82,8.45,8.3,16.7,25,0,0
2012-2013,Kyle Quincey,Detroit,36,540:44:00,1,1,1,2,28,50,76,3.57,0.11,0.11,0.11,0.22,3.11,5.55,8.43,5.3,5.3,10.5,0,0
2011-2012,Kyle Quincey,Detroit,72,1167:37:00,2,7,3,9,117,153,229,1.71,0.1,0.36,0.15,0.46,6.01,7.86,11.77,4.5,15.9,20.5,0,0
2010-2011,Kyle Quincey,Colorado,21,308:39:00,0,1,1,1,29,36,53,0,0,0.19,0.19,0.19,5.64,7,10.3,0,7.7,7.7,0,0
2015-2016,Kyle Quincey,Detroit,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Kyle Turris,Ottawa,82,1160:25:00,12,23,15,35,142,195,272,8.45,0.62,1.19,0.78,1.81,7.34,10.08,14.06,22.6,43.4,66,0,0
2013-2014,Kyle Turris,Ottawa,82,1115:30:00,16,23,17,39,161,224,285,9.94,0.86,1.24,0.91,2.1,8.66,12.05,15.33,25.8,37.1,62.9,0,0
2012-2013,Kyle Turris,Ottawa,48,697:15:00,7,9,7,16,87,126,172,8.05,0.6,0.77,0.6,1.38,7.49,10.84,14.8,31.8,40.9,72.7,0,0
2011-2012,Kyle Turris,Ottawa,55,784:34:00,9,11,8,20,116,143,197,7.76,0.69,0.84,0.61,1.53,8.87,10.94,15.07,31,37.9,69,0,0
2010-2011,Kyle Turris,Arizona,65,621:59:00,11,13,7,24,100,129,159,11,1.06,1.25,0.68,2.32,9.65,12.44,15.34,33.3,39.4,72.7,0,0
2015-2016,Kyle Turris,Ottawa,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Kyle Wellwood,Winnipeg,39,466:53:00,6,7,5,13,36,44,56,16.67,0.77,0.9,0.64,1.67,4.63,5.65,7.2,33.3,38.9,72.2,0,0
2011-2012,Kyle Wellwood,Winnipeg,77,962:57:00,12,22,10,34,79,111,134,15.19,0.75,1.37,0.62,2.12,4.92,6.92,8.35,29.3,53.7,82.9,0,0
2010-2011,Kyle Wellwood,San Jose,35,461:47:00,5,7,4,12,48,62,85,10.42,0.65,0.91,0.52,1.56,6.24,8.06,11.04,31.2,43.8,75,0,0
2010-2011,Kyle Wilson,Columbus,32,288:27:00,4,7,4,11,31,41,54,12.9,0.83,1.46,0.83,2.29,6.45,8.53,11.23,28.6,50,78.6,0,0
2014-2015,Ladislav Smid,Calgary,31,387:23:00,0,1,0,1,20,30,40,0,0,0.15,0,0.15,3.1,4.65,6.2,0,14.3,14.3,0,0
2013-2014,Ladislav Smid,Calgary,73,1132:08:00,2,4,2,6,38,52,77,5.26,0.11,0.21,0.11,0.32,2.01,2.76,4.08,6.9,13.8,20.7,0,0
2012-2013,Ladislav Smid,Edmonton,48,789:38:00,1,2,0,3,28,49,68,3.57,0.08,0.15,0,0.23,2.13,3.72,5.17,3.3,6.7,10,0,0
2011-2012,Ladislav Smid,Edmonton,78,1304:41:00,5,9,1,14,45,62,89,11.11,0.23,0.41,0.05,0.64,2.07,2.85,4.09,10,18,28,0,0
2010-2011,Ladislav Smid,Edmonton,78,1246:41:00,0,9,3,9,34,55,96,0,0,0.43,0.14,0.43,1.64,2.65,4.62,0,22.5,22.5,0,0
2015-2016,Ladislav Smid,Calgary,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Lance Bouma,Calgary,78,915:10:00,15,15,10,30,93,136,161,16.13,0.98,0.98,0.66,1.97,6.1,8.92,10.56,38.5,38.5,76.9,0,0
2013-2014,Lance Bouma,Calgary,78,796:59:00,4,10,6,14,76,109,136,5.26,0.3,0.75,0.45,1.05,5.72,8.21,10.24,15.4,38.5,53.8,0,0
2011-2012,Lance Bouma,Calgary,27,256:04:00,1,2,2,3,24,39,46,4.17,0.23,0.47,0.47,0.7,5.62,9.14,10.78,33.3,66.7,100,0,0
2010-2011,Lance Bouma,Calgary,16,93:52:00,0,1,1,1,9,13,17,0,0,0.64,0.64,0.64,5.75,8.31,10.87,0,50,50,0,0
2015-2016,Lance Bouma,Calgary,,,,,,,,,,,,,,,,,,,,,,
2015-2016,Landon Ferraro,Detroit,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Lars Eller,Montreal,77,995:26:00,11,9,6,20,129,173,211,8.53,0.66,0.54,0.36,1.21,7.78,10.43,12.72,34.4,28.1,62.5,0,0
2013-2014,Lars Eller,Montreal,77,982:28:00,7,12,7,19,116,151,208,6.03,0.43,0.73,0.43,1.16,7.08,9.22,12.7,26.9,46.2,73.1,0,0
2012-2013,Lars Eller,Montreal,46,551:16:00,7,18,9,25,73,100,130,9.59,0.76,1.96,0.98,2.72,7.95,10.88,14.15,24.1,62.1,86.2,0,0
2011-2012,Lars Eller,Montreal,79,986:04:00,11,10,8,21,102,146,218,10.78,0.67,0.61,0.49,1.28,6.21,8.88,13.26,36.7,33.3,70,0,0
2010-2011,Lars Eller,Montreal,77,816:32:00,7,8,6,15,76,123,164,9.21,0.51,0.59,0.44,1.1,5.58,9.04,12.05,28,32,60,0,0
2015-2016,Lars Eller,Montreal,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Laurent Brossoit,Edmonton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961,
2014-2015,Lauri Korpikoski,Arizona,69,842:59:00,1,10,4,11,64,94,133,1.56,0.07,0.71,0.28,0.78,4.56,6.69,9.47,7.1,71.4,78.6,0,0
2013-2014,Lauri Korpikoski,Arizona,64,811:46:00,7,12,6,19,87,130,174,8.05,0.52,0.89,0.44,1.4,6.43,9.61,12.86,31.8,54.5,86.4,0,0
2012-2013,Lauri Korpikoski,Arizona,36,460:18:00,5,4,3,9,62,90,122,8.06,0.65,0.52,0.39,1.17,8.08,11.73,15.9,38.5,30.8,69.2,0,0
2011-2012,Lauri Korpikoski,Arizona,82,1077:21:00,13,18,12,31,123,179,236,10.57,0.72,1,0.67,1.73,6.85,9.97,13.14,31,42.9,73.8,0,0
2010-2011,Lauri Korpikoski,Arizona,79,876:17:00,13,16,9,29,80,113,146,16.25,0.89,1.1,0.62,1.99,5.48,7.74,10,32.5,40,72.5,0,0
2015-2016,Lauri Korpikoski,Edmonton,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Lee Stempniak,Winnipeg,71,784:18:00,14,10,3,24,99,129,176,14.14,1.07,0.77,0.23,1.84,7.57,9.87,13.46,45.2,32.3,77.4,0,0
2013-2014,Lee Stempniak,Pittsburgh,73,1057:52:00,9,14,11,23,142,178,231,6.34,0.51,0.79,0.62,1.3,8.05,10.1,13.1,25.7,40,65.7,0,0
2012-2013,Lee Stempniak,Calgary,47,650:21:00,5,17,9,22,92,109,157,5.43,0.46,1.57,0.83,2.03,8.49,10.06,14.48,16.1,54.8,71,0,0
2011-2012,Lee Stempniak,Calgary,61,754:08:00,11,10,5,21,103,138,185,10.68,0.88,0.8,0.4,1.67,8.19,10.98,14.72,37.9,34.5,72.4,0,0
2010-2011,Lee Stempniak,Arizona,82,1076:35:00,14,15,4,29,167,217,302,8.38,0.78,0.84,0.22,1.62,9.31,12.09,16.83,35,37.5,72.5,0,0
2012-2013,Leland Irving,Calgary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883,
2011-2012,Leland Irving,Calgary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912,
2012-2013,Lennart Petrell,Edmonton,35,307:38:00,2,5,1,7,20,29,39,10,0.39,0.98,0.2,1.37,3.9,5.66,7.61,25,62.5,87.5,0,0
2011-2012,Lennart Petrell,Edmonton,60,499:51:00,3,4,4,7,34,47,69,8.82,0.36,0.48,0.48,0.84,4.08,5.64,8.28,33.3,44.4,77.8,0,0
2014-2015,Leo Komarov,Toronto,62,725:31:00,7,14,9,21,67,89,115,10.45,0.58,1.16,0.74,1.74,5.54,7.36,9.51,24.1,48.3,72.4,0,0
2012-2013,Leo Komarov,Toronto,42,494:28:00,4,5,1,9,47,72,86,8.51,0.49,0.61,0.12,1.09,5.7,8.74,10.44,28.6,35.7,64.3,0,0
2015-2016,Leo Komarov,Toronto,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Leon Draisaitl,Edmonton,37,398:28:00,1,6,6,7,38,52,60,2.63,0.15,0.9,0.9,1.05,5.72,7.83,9.03,9.1,54.5,63.6,0,0
2014-2015,Liam O_Brien,Washington,13,97:19:00,1,1,1,2,16,19,22,6.25,0.62,0.62,0.62,1.23,9.86,11.71,13.56,25,25,50,0,0
2010-2011,Liam Reddox,Edmonton,44,488:46:00,1,8,4,9,67,85,114,1.49,0.12,0.98,0.49,1.1,8.22,10.43,13.99,9.1,72.7,81.8,0,0
2014-2015,Linden Vey,Vancouver,75,826:45:00,4,11,6,15,42,61,93,9.52,0.29,0.8,0.44,1.09,3.05,4.43,6.75,15.4,42.3,57.7,0,0
2013-2014,Linden Vey,Los Angeles,18,170:43:00,0,3,2,3,6,12,16,0,0,1.05,0.7,1.05,2.11,4.22,5.62,0,75,75,0,1
2015-2016,Linden Vey,Vancouver,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Linus Omark,Buffalo,14,145:26:00,0,0,0,0,9,16,22,0,0,0,0,0,3.71,6.6,9.08,0,0,0,0,0
2011-2012,Linus Omark,Edmonton,14,161:08:00,2,0,0,2,20,31,42,10,0.74,0,0,0.74,7.45,11.54,15.64,100,0,100,0,0
2010-2011,Linus Omark,Edmonton,51,626:23:00,4,14,9,18,59,77,102,6.78,0.38,1.34,0.86,1.72,5.65,7.38,9.77,21.1,73.7,94.7,0,0
2014-2015,Logan Couture,San Jose,82,1097:23:00,16,17,13,33,167,236,309,9.58,0.87,0.93,0.71,1.8,9.13,12.9,16.89,34.8,37,71.7,0,0
2013-2014,Logan Couture,San Jose,65,854:42:00,13,17,11,30,144,200,241,9.03,0.91,1.19,0.77,2.11,10.11,14.04,16.92,29.5,38.6,68.2,0,0
2012-2013,Logan Couture,San Jose,48,626:27:00,14,10,9,24,107,147,175,13.08,1.34,0.96,0.86,2.3,10.25,14.08,16.76,48.3,34.5,82.8,0,0
2011-2012,Logan Couture,San Jose,80,1098:59:00,17,15,11,32,176,234,302,9.66,0.93,0.82,0.6,1.75,9.61,12.78,16.49,45.9,40.5,86.5,0,0
2010-2011,Logan Couture,San Jose,79,1086:28:00,20,18,11,38,186,256,319,10.75,1.1,0.99,0.61,2.1,10.27,14.14,17.62,45.5,40.9,86.4,0,0
2015-2016,Logan Couture,San Jose,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Loui Eriksson,Boston,81,1093:01:00,11,17,12,28,104,147,175,10.58,0.6,0.93,0.66,1.54,5.71,8.07,9.61,28.2,43.6,71.8,0,0
2013-2014,Loui Eriksson,Boston,61,763:18:00,8,14,6,22,88,121,139,9.09,0.63,1.1,0.47,1.73,6.92,9.51,10.93,22.9,40,62.9,0,0
2012-2013,Loui Eriksson,Dallas,48,690:15:00,8,9,7,17,72,105,132,11.11,0.7,0.78,0.61,1.48,6.26,9.13,11.47,32,36,68,0,0
2011-2012,Loui Eriksson,Dallas,82,1167:58:00,14,32,19,46,125,164,212,11.2,0.72,1.64,0.98,2.36,6.42,8.42,10.89,25,57.1,82.1,0,0
2010-2011,Loui Eriksson,Dallas,79,1181:00:00,12,28,16,40,113,155,182,10.62,0.61,1.42,0.81,2.03,5.74,7.87,9.25,24,56,80,0,0
2015-2016,Loui Eriksson,Boston,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Louis Domingue,Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,
2013-2014,Louis Leblanc,Montreal,8,77:07:00,0,0,0,0,7,9,14,0,0,0,0,0,5.45,7,10.89,0,0,0,0,0
2011-2012,Louis Leblanc,Montreal,42,444:51:00,5,5,3,10,58,79,97,8.62,0.67,0.67,0.4,1.35,7.82,10.66,13.08,31.2,31.2,62.5,0,0
2014-2015,Lubomir Visnovsky,New York Islanders,53,847:40:00,3,12,6,15,64,90,132,4.69,0.21,0.85,0.42,1.06,4.53,6.37,9.34,7.3,29.3,36.6,0,0
2013-2014,Lubomir Visnovsky,New York Islanders,24,365:28:00,0,2,0,2,14,22,40,0,0,0.33,0,0.33,2.3,3.61,6.57,0,13.3,13.3,0,0
2012-2013,Lubomir Visnovsky,New York Islanders,35,615:14:00,2,4,1,6,50,61,101,4,0.2,0.39,0.1,0.59,4.88,5.95,9.85,6.2,12.5,18.8,0,0
2011-2012,Lubomir Visnovsky,Anaheim,68,1096:30:00,5,11,6,16,64,96,150,7.81,0.27,0.6,0.33,0.88,3.5,5.25,8.21,10.6,23.4,34,0,0
2010-2011,Lubomir Visnovsky,Anaheim,81,1473:44:00,10,22,9,32,92,139,207,10.87,0.41,0.9,0.37,1.3,3.75,5.66,8.43,13.3,29.3,42.7,0,0
2010-2011,Luca Caputi,Toronto,7,65:58:00,0,0,0,0,7,11,13,0,0,0,0,0,6.37,10.01,11.82,0,0,0,0,0
2014-2015,Luca Sbisa,Vancouver,76,1203:08:00,2,7,1,9,75,100,162,2.67,0.1,0.35,0.05,0.45,3.74,4.99,8.08,4.1,14.3,18.4,0,0
2013-2014,Luca Sbisa,Anaheim,30,451:29:00,1,4,1,5,26,44,73,3.85,0.13,0.53,0.13,0.66,3.46,5.85,9.7,6.7,26.7,33.3,0,0
2012-2013,Luca Sbisa,Anaheim,41,673:20:00,1,3,3,4,35,52,89,2.86,0.09,0.27,0.27,0.36,3.12,4.63,7.93,4.5,13.6,18.2,0,0
2011-2012,Luca Sbisa,Anaheim,80,1196:07:00,4,14,6,18,69,109,168,5.8,0.2,0.7,0.3,0.9,3.46,5.47,8.43,9.8,34.1,43.9,0,0
